proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
Q93045,816670,477410,329200,0,817380,700080,771300,477450,362790,1058600,848570,1099600,652560,903560,1027300,945070
Q93050,158180000,272560000,85107000,123110000,202730000,93327000,114650000,158570000,164720000,190710000,108060000,180410000,158390000,244260000,213420000,244600000
Q93052,5355200,0,1849100,905280,1664700,808340,1658300,384130,2758400,668240,871860,1772200,2701400,3204200,1640400,2133000
Q93100,1398700,1804300,822720,1701300,1451100,831470,1427600,1176000,363710,963160,1865200,1272000,2637400,1492600,1589600,1429100
Q969E2,1583200,5268700,556230,3980700,994550,3906500,291200,3222100,3568700,3888400,2066900,2517400,1791900,2322800,2146600,1887600
Q969E4,477360,0,403490,0,450950,430190,241720,157460,297290,506120,94640,535210,615210,630230,502330,541740
Q969G3,137540,390760,274480,357870,322530,333040,278020,184710,251520,781980,158500,476500,807990,662880,263860,0
Q969G5,446760,345910,347800,323150,201970,0,105860,0,463740,305110,420390,0,1324800,941080,615750,410260
Q969G6,723930,0,252890,0,550940,915490,221460,233880,1650500,807420,475270,1561700,1055100,1198100,753940,1158500
Q969H8,306570,0,711610,0,1116900,1641000,437460,388570,243110,1112300,529410,818090,1024500,759900,0,922500
Q969L2,8382700,20742000,4548400,8740700,12636000,4057300,6931000,7731900,12047000,10465000,7255000,9622200,9847600,10894000,13160000,10882000
Q969M3,140630,0,196970,458920,0,330550,177230,309650,290650,484480,62079,266410,0,569360,225440,455330
Q969P0,104550000,260610000,75317000,152490000,102250000,155180000,57491000,126600000,75397000,127750000,102810000,157630000,80328000,158380000,150300000,135120000
Q969T9,4947400,1813900,965920,2763300,3988300,2898300,2963300,4974200,5708200,4951300,3131800,6293800,4059000,8841700,2462900,6692300
Q969V3,725870,319540,207450,324490,854460,894040,258120,540770,985260,1103200,652970,934010,421900,669650,284560,1414400
Q969X1,0,883530,0,843950,0,693450,0,0,0,555820,0,0,0,0,0,0
Q969X5,151740,677940,0,456680,195140,467800,143330,0,191260,695010,215690,669870,420850,0,0,602820
Q969Y2,38948,52312,0,27533,75601,58548,83453,73730,106710,75759,0,44081,63165,66482,49530,102510
Q969Z3,3106500,3851900,1972900,1477600,2372800,3224600,1786200,4269300,3701800,3922300,2152000,5712700,2807100,6970300,2926000,4228300
Q96A00,1756800,3611900,1050400,4444900,1459500,9339000,857720,1722800,2934600,1815600,1997000,1771500,2508500,1321800,2486800,2301800
Q96A23,1741300,2343200,762820,1646300,624050,1738600,936330,2694500,1139600,4332200,860980,4400800,753710,3267600,473880,5542000
Q96A26,12788000,36993000,6671800,28562000,15022000,9459600,11003000,16792000,15032000,19405000,8621900,18480000,16021000,24025000,15078000,16683000
Q96A33,1205000,2518300,913500,1451200,1971400,1326000,886630,1234700,2417100,4446700,1768700,784860,1270000,2865800,1817400,1829500
