proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21
P27797,16019000000,15952000000,5439100000,16885000000,5532800000,5204200000,13738000000,4980900000,12059000000,353800000,3921400000,8191700000,3501600000,5773300000,998050000,395770000,322730000,159650000,14499000000,4738200000,27140000000
P27815,0,0,0,22329000,0,0,9072900,0,0,0,0,0,0,0,0,0,0,0,0,9319200,23984000
P27816,4311100000,3800200000,2909400000,3608700000,1021200000,1042900000,2237600000,1260500000,1632900000,43350000,416960000,1510700000,1612400000,1907100000,260730000,90196000,60788000,66388000,3172400000,741690000,4816600000
P27824,7808000000,13779000000,4894400000,10404000000,12208000000,3259700000,5204000000,4676500000,8183800000,268550000,2119500000,2972100000,1614900000,3619600000,511860000,361590000,137120000,131910000,16950000000,1072100000,11804000000
P27986,22158000,0,1690400,9606100,0,19911000,2822300,24370000,14384000,0,0,11866000,0,0,1703700,0,0,0,0,0,12717000
P27987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P28062,0,37079000,116570000,30565000,0,0,54158000,53242000,74292000,3517400,14919000,9158000,66155000,40131000,6045200,0,0,0,61448000,133610000,27570000
P28066,1668100000,2412500000,585160000,1182900000,851190000,519940000,1212100000,482490000,1416100000,42197000,499820000,443980000,386810000,1250600000,144760000,45402000,25210000,37860000,1981800000,449680000,1997200000
P28070,301870000,865870000,52042000,253320000,29982000,75283000,170660000,67015000,208670000,10502000,18386000,60292000,43827000,177340000,47228000,10497000,0,0,634170000,12937000,365980000
P28072,1000300000,1300000000,289840000,407270000,220300000,138440000,367970000,132770000,422950000,29490000,134600000,207790000,60070000,505930000,74062000,48659000,9516000,32125000,920880000,104090000,412790000
P28074,1094800000,2609600000,762030000,500710000,406480000,336980000,658020000,378870000,609960000,38124000,217250000,294140000,241020000,836070000,80497000,24351000,7310700,23576000,1554700000,94663000,1317200000
P28161,1990400000,1162600000,1454200000,403380000,141970000,745980000,523450000,814310000,561120000,18353000,47936000,514420000,422410000,145580000,100490000,39090000,12268000,0,2402400000,410950000,2731300000
P28288,68080000,90123000,161810000,103080000,18118000,86417000,97197000,128500000,129090000,1938700,0,10053000,21142000,22056000,3913100,0,0,0,212610000,27269000,88900000
P28289,216630000,99555000,586480000,23054000,314690000,283330000,177980000,512580000,902070000,5313400,96597000,5046300,308110000,31946000,5905500,0,2265100,0,266570000,52538000,47571000
P28300,0,0,0,0,40281000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P28330,0,0,0,0,0,0,0,0,0,0,0,0,20338000,0,1620800,0,0,0,0,5983000,0
P28331,3675600000,5378600000,1855100000,945730000,313170000,3786400000,781460000,2793900000,1015500000,43004000,223420000,276270000,170250000,422670000,174960000,45820000,36070000,24140000,5882300000,317000000,2717400000
P28340,37848000,64935000,0,7998900,0,0,12890000,0,38377000,0,1141900,0,0,39162000,0,5362800,1075300,0,36161000,0,12913000
P28347,16978000,134510000,20817000,0,450430,4106500,19133000,0,47968000,0,0,0,0,15268000,0,0,0,0,116020000,0,12769000
P28370,51470000,160310000,12536000,97149000,29077000,0,65951000,15151000,9685000,0,0,32082000,0,32934000,3931200,0,0,0,64031000,0,57059000
P28472,102930000,0,58124000,0,60468000,76468000,20232000,79119000,0,1349900,0,0,0,0,23030000,0,0,0,189450000,873880,0
P28482,3004500000,2703100000,5337600000,1528900000,62096000,1992100000,2147100000,1954200000,653920000,44983000,176390000,225520000,666670000,579490000,113420000,163930000,44191000,7412000,7102600000,1207500000,2652300000
