SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
Q16762,TST,,0.217,,0.4,0.031,,,,,0.599,,,0.092,,0.109,0.092,3,0.0,0,0,0
P61812,TGFB2,,,0.306,0.317,0.031,,,,,,0.799,,,0.09,0.092,0.09,3,0.0,0,0,0
P11137,MAP2,,,0.447,0.354,0.015,,,,,,0.819,,,0.071,0.037,0.071,3,0.0,0,0,0
P02792,FTL,,0.099,,0.37,0.015,,,,,0.326,,,0.04,,0.042,0.04,3,0.0,0,0,0
O15266,SHOX,,,0.491,,0.0,,,,,,,,,0.038,,0.038,2,0.0,0,0,0
Q05586,GRIN1,,,0.334,0.347,0.015,,,,,,0.828,,,0.03,0.034,0.03,3,0.0,0,0,0
P49841,GSK3B,,,0.299,0.852,0.015,,,,,,0.736,,,0.019,0.251,0.019,3,0.0,0,0,0
Q13516,OLIG2,,,0.432,0.476,0.0,,,,,,0.919,,,0.009,0.031,0.009,3,0.0,0,0,0
P01574,IFNB1,,,0.155,0.39,0.015,,,,,,0.467,,,0.006,0.049,0.006,3,0.0,0,0,0
P05412,JUN,,,0.159,0.149,0.015,,,,,,0.63,,,0.005,0.008,0.005,3,0.0,0,0,0
Q14624,ITIH4,,,0.216,0.435,0.015,,,,,,0.588,,,0.003,0.067,0.003,3,0.0,0,0,0
Q9UIF9,BAZ2A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9UHF7,TRPS1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9UHG0,DCDC2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
