"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"O00629",0.168946157,0.173234931,0.25822151,0.188534893,0.339172321,0.211101613,0.156425413,0.157246096,-0.075997973,0.007254834,0.179211711,-0.110103499,-0.089156777,-0.199007483,0.012766944,-0.055889404,NA,0.0270267007221216
"O00743",-0.441659266,-0.421970576,-0.818659313,-0.761613257,-0.553022089,-0.552570111,-0.496683744,-0.382120361,-0.14371188,-0.223789387,-0.262922529,-0.18476528,-0.000518754,-0.207990987,-0.16524353,-0.176787185,NA,0.0029924458114493
"O00764",1.048583,1.016715,1.169394,1.154571,1.144058,1.180892,1.163146,1.203314,1.229261,1.309497,1.229482,1.319908,1.071845,1.18872,1.193035,1.128729,NA,0.694822816014597
"O14490",0.03627585,0.05142528,-0.02930702,0.37004704,0.45790933,0.43899136,0.45996311,0.40959051,0.27350618,0.07864588,0.28311144,0.14159077,0.35892961,0.15512102,0.13990926,0.22042787,NA,0.102361547337874
"O14494",-0.46621515,-0.47805874,-0.14118449,-0.19074393,-0.38643742,-0.48421391,-0.52545294,-0.54704165,-0.3658814,-0.43463406,-0.67683756,-0.46430778,0.04377435,-0.26511437,-0.23463915,-0.65436834,NA,0.974134081783708
"O14495",0.5644353,0.1397037,0.4067343,0.4241392,0.3542562,0.4166459,0.4423114,0.4315526,0.2499028,0.4294434,0.2117861,0.3979277,0.3463555,0.4852032,0.4887634,0.2322307,NA,0.670966977395473
"O14521",-0.5596735,-0.4476315,-0.7905461,-0.4310017,-0.400958,-0.2050315,-0.3875841,-0.3275239,-0.3443451,-0.1884511,-0.377638,-0.423386,-0.4711051,-1.6818207,-0.1552058,-0.1346385,NA,0.685929667119769
"O14523",-0.070240567,-0.070405534,-0.352673718,0.012022627,0.141435387,0.150874731,-0.009047867,-0.025319666,0.1332627,0.1025037,0.104364905,-0.039397867,0.320616361,-0.106599458,-0.169975795,0.144342896,NA,0.731811639043961
"O14525",-1.4768136,-1.2228996,-0.8540076,-0.7890255,-0.7501398,-0.55905,-0.8521685,-0.605816,-0.9443783,-0.8134301,-0.3921881,-0.909326,-0.4512266,-1.0204688,-0.8159864,-0.9946897,NA,0.25159563931066
"O14531",1.1927872,1.1698148,1.181307,1.0560471,1.267116,1.1723498,1.07469,1.0380794,0.8707869,0.8140692,1.0707469,1.0688497,1.073011,1.0240065,0.8510179,1.0598712,NA,0.181615449995702
"O14548",1.0728268,0.6207352,0.4770554,0.6235828,0.7648731,0.7995367,0.7425023,0.6490058,0.7109332,0.4774633,0.6045729,0.5223065,0.9066195,0.5340331,0.5341453,0.5318939,NA,0.00642356344953599
"O14558",0.10523229,0.03326173,0.05153985,0.24079021,-0.0855245,-0.04848899,0.11614546,-0.24551124,0.33469708,0.48109214,-0.09092205,0.48670995,0.07847521,0.35530757,0.33255195,0.25057663,NA,0.00551855179568556
"O14561",0.4760267,0.1607509,0.4334277,0.5427313,0.135024,0.4693973,0.4894259,0.6762353,0.3967954,0.5505429,0.238574,0.4791598,0.1020006,0.3049674,0.1040628,0.3712032,NA,0.200427247808441
"O14562",-0.4007415,-0.4176189,-1.0522615,-1.2021087,-0.9070581,-0.911889,-0.8606994,-0.9323802,-0.7513833,-0.8396897,-0.6660732,-0.5792487,-0.6910947,-0.5867067,-0.6227917,-0.5968826,NA,0.0110524602800667
"O14576",0.4606524,0.5172215,0.5094829,0.5894992,0.4574624,0.3479138,0.441776,0.4723677,0.5115984,0.511078,0.4683561,0.5145194,0.4959693,0.4063645,0.1074396,0.5607137,NA,0.454729364082718
"O14578",0.29230435,0.16990426,0.04160883,0.41331679,0.38214962,0.36729346,0.3394026,0.25561912,0.31597125,0.10525448,0.33024395,0.27063753,0.45727429,0.28346466,0.21800879,0.21348689,NA,0.3661688029527
"O14579",0.01398098,-0.12183282,-0.20126414,-0.10756704,-0.18800561,-0.11922629,-0.12841479,-0.1143434,-0.09514862,-0.08819724,-0.02745593,-0.19328425,-0.11456451,-0.01876649,0.10465193,-0.07743936,NA,0.116755012652016
"O14594",1.2477585,1.0967595,1.1190428,1.1760388,1.1807916,1.2050111,1.090669,1.1644985,1.0371008,1.036688,1.1134388,0.9166478,0.9770095,1.0494953,1.060383,1.0099903,NA,0.00595976252968462
"O14617",0.981422,0.846785,0.8565327,1.0446183,0.926105,1.0451771,0.9549679,1.0190467,0.8571864,0.7482769,0.9545561,0.9056434,0.9160614,0.9341769,0.708828,0.842739,NA,0.21110383490874
"O14618",-0.497758924,-0.065782558,-0.294832596,-0.296097886,-0.320085599,-0.144242985,-0.209656089,-0.351062509,-0.446523096,-0.542999275,-0.527351981,-0.492622598,-0.609820358,-0.096463154,0.007037866,-0.297555477,NA,0.261457927849118
"O14639",-0.09502317,0.33224979,0.11630037,0.34293415,0.12694004,0.28222659,0.50778798,0.3733835,0.29849155,0.27639906,0.18437532,0.27707553,0.44256111,0.27472925,0.40550872,0.32530821,NA,0.544267355143205
