proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
O60749,0.025032599,0.553531739,0.074015084,-0.310949959,-0.126513274,0.118162091,-0.000209499,-0.371335859,-0.008482541,0.120032852
O60763,0.14458774,0.73584172,0.29719386,-0.06490941,0.01621914,0.23420779,-0.05384557,-0.45894537,0.04627402,0.16133049
O60784,-0.3482533,0.2081058,-0.5757451,-0.47588,-0.2335591,-0.1679765,-0.8500853,-0.4447396,-0.3927806,-0.166081
O60825,0.0841717,-0.44990973,-0.06453848,0.12518189,-0.06666002,-0.09406972,-0.02539641,-0.07682407,-0.0118058,0.15140165
O60826,-0.8823581,-1.024986,-0.177583,-0.9097075,-0.901039,-0.3792027,-1.3962271,-0.6614453,-1.7465078,-0.8537262
O60830,-0.6359029,-0.2034008,-0.6514849,-0.592948,-0.2959426,-0.6849524,-0.439632,-0.2528629,-0.5586298,-0.7091047
O60884,-0.480029,-0.2462397,-0.4304309,-0.5467026,-0.3008521,-0.4934344,-0.5504614,-0.8121841,-0.4032276,-0.5040828
O60888,-0.639625,-0.2598548,-0.9939411,-0.7298033,-0.8368328,-0.7011858,-1.0378368,-0.5258763,-0.6076718,-1.096328
O75027,0.2437103,0.1353753,0.5482074,0.8181385,0.5612759,0.687634,0.6234917,0.9938389,0.6202224,0.6162958
O75061,0.668111,0.5303858,0.3024498,0.5085189,0.3128552,0.577607,0.2318229,0.2293984,0.5095218,0.6694211
O75077,-0.6601963,-0.3820438,-0.5595127,-0.7959164,-0.6165292,-0.5482396,-0.6213092,-0.7591542,-0.8003267,-1.1168728
O75083,0.7642022,1.0289852,1.1180623,0.748342,0.5598981,0.8258497,0.8194306,0.7069146,0.7069471,0.9364325
O75110,0.2170166,0.31149237,-0.05962671,-0.08270306,-0.28139284,0.1424887,0.02790888,0.13901104,-0.06434618,0.19462303
O75116,0.06976403,0.31939291,-0.5207224,-1.15885747,-0.08931331,-0.03580833,-0.0723837,-0.51517135,-0.72045676,-0.52702828
